Linienvariante;1;1;1UML;1UML;1;1;1UML;1UML;4;4;1;1;1;1UML;1UML;1UML;1UML;7;1;1UML;7;1UML;5;1UML;1;1;1;1UML;1UML;1UML;1;1;1UML;1UML;1;1;1;1UML;1UML;1UML;1UML;1;1;1UML;1;1UML;1UML;1UML;1;1;1;1UML;1UML;1UML;1UML;1;1UML;1;1;1UML;1UML;1UML;1;1;1;1;1;1UML;1UML;1UML;1UML;1;1;1;1;1;1UML;1UML;1UML;1UML;2;2;2UML;2UML;1;1;1;1UML;1UML;1UML;1UML;2;2;2UML;2UML;1;1;1;1UML;1UML;1UML;1UML;1;1;1UML;1UML;1;1;1;1UML;1UML;1UML;1UML;1;1;1UML;1UML;1;1;1;1UML;1UML;1UML;1UML;1;1UML;1;1UML;1;1;1;1UML;1UML;1UML;1UML;1;1;1;1UML;1UML;1UML;1UML;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
Route;7;7;18;18;7;7;18;18;2;2;7;7;7;18;18;18;18;8;7;18;8;18;4;18;7;7;7;18;18;18;7;7;18;18;7;7;7;18;18;18;18;7;7;18;7;18;18;18;7;7;7;18;18;18;18;7;18;7;7;18;18;18;7;7;7;7;7;18;18;18;18;7;7;7;7;7;18;18;18;18;10;10;17;17;7;7;7;18;18;18;18;10;10;17;17;7;7;7;18;18;18;18;7;7;18;18;7;7;7;18;18;18;18;7;7;18;18;7;7;7;18;18;18;18;7;18;7;18;7;7;7;18;18;18;18;7;7;7;18;18;18;18;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
Fahrzeitprofil;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP2;FZP2;FZP2;FZP2;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP2;FZP2;FZP2;FZP2;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1
Betriebstagsgruppe;108 Mo-Di+Do-Fr;16 Mi;#NAME?;#NAME?;108 Mo-Di+Do-Fr;16 Mi;#NAME?;#NAME?;100 Mo-Di+Fr;24 Mi-Do;108 Mo-Di+Do-Fr;16 Mi;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;108 Mo-Di+Do-Fr;#NAME?;#NAME?;16 Mi;#NAME?;#NAME?;#NAME?;108 Mo-Di+Do-Fr;16 Mi;#NAME?;#NAME?;#NAME?;#NAME?;108 Mo-Di+Do-Fr;16 Mi;#NAME?;#NAME?;108 Mo-Di+Do-Fr;16 Mi;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;108 Mo-Di+Do-Fr;16 Mi;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;108 Mo-Di+Do-Fr;16 Mi;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;108 Mo-Di+Do-Fr;#NAME?;16 Mi;#NAME?;#NAME?;#NAME?;#NAME?;108 Mo-Di+Do-Fr;16 Mi;108 Mo-Di+Do-Fr;16 Mi;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;108 Mo-Di+Do-Fr;16 Mi;108 Mo-Di+Do-Fr;16 Mi;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;108 Mo-Di+Do-Fr;16 Mi;#NAME?;#NAME?;108 Mo-Di+Do-Fr;16 Mi;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;108 Mo-Di+Do-Fr;16 Mi;#NAME?;#NAME?;108 Mo-Di+Do-Fr;16 Mi;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;108 Mo-Di+Do-Fr;16 Mi;#NAME?;#NAME?;108 Mo-Di+Do-Fr;16 Mi;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;108 Mo-Di+Do-Fr;16 Mi;#NAME?;#NAME?;108 Mo-Di+Do-Fr;16 Mi;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;108 Mo-Di+Do-Fr;#NAME?;16 Mi;#NAME?;108 Mo-Di+Do-Fr;16 Mi;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;108 Mo-Di+Do-Fr;16 Mi;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;24 Mi-Do;100 Mo-Di+Fr;#NAME?;#NAME?;24 Mi-Do;100 Mo-Di+Fr;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;100 Mo-Di+Fr;#NAME?;24 Mi-Do;#NAME?;#NAME?;24 Mi-Do;100 Mo-Di+Fr;24 Mi-Do;#NAME?;100 Mo-Di+Fr;#NAME?;24 Mi-Do;#NAME?;24 Mi-Do;100 Mo-Di+Fr;100 Mo-Di+Fr;#NAME?;24 Mi-Do;#NAME?;#NAME?;24 Mi-Do;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;24 Mi-Do;100 Mo-Di+Fr;100 Mo-Di+Fr;24 Mi-Do;#NAME?;#NAME?;#NAME?;#NAME?;24 Mi-Do;#NAME?;#NAME?;#NAME?;100 Mo-Di+Fr;24 Mi-Do;#NAME?;#NAME?;100 Mo-Di+Fr;24 Mi-Do;#NAME?;#NAME?;#NAME?;24 Mi-Do;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;4 Fr;#NAME?;4 Fr;4 Fr;#NAME?;#NAME?;4 Fr;4 Fr;#NAME?;#NAME?;4 Fr;4 Fr;#NAME?;4 Fr;#NAME?;4 Fr;#NAME?
Verkehrsbeschränkung;!;!;78;!;!;!;78;!;!;S024;!;!;!;78;83;!;91;!;!;!;!;78;17;83;!;!;!;78;91;!;!;!;78;!;!;!;!;78;83;!;91;!;!;!;!;78;83;91;!;!;!;78;83;91;!;!;78;!;!;83;!;91;!;!;!;!;!;78;83;!;91;!;!;!;!;!;78;83;!;91;!;!;78;!;!;!;!;78;83;!;91;!;!;78;!;!;!;!;83;78;91;!;!;!;78;!;!;!;!;78;83;!;91;!;!;78;!;!;!;!;83;78;!;91;!;!;!;78;!;!;!;83;78;!;91;!;!;!;78;83;!;91;!;!;!;!;!;!;!;!;78;83;81;91;!;93;!;!;78;!;!;!;!;!;83;!;91;!;!;!;!;!;!;!;!;!;78;81;83;93;91;!;!;!;!;!;!;78;83;91;!;!;78;!;!;!;!;!;!;!;81;93;83;!;91;!;!;!;!;!;!;!;81;83;78;93;91;!;!;!;!;!;!;!;78;83;91;81;93;!;!;!;!;!;83;91;!;!;!;!;!;!;!;!;83;!;!
Planungsbedingung;~RF & ~'UMlMPL1&4' &;~'UMlMPL1&4' & ~UmlR;UmlRVBP1;UmlRVBP2;~RF & ~'UMlMPL1&4' &;~'UMlMPL1&4' & ~UmlR;UmlRVBP1;UmlRVBP2;~RF & Schule;Schule;~RF & ~'UMlMPL1&4' &;~'UMlMPL1&4' & ~UmlR;~RF & ~'UMlMPL1&4' &;UmlRVBP1;UmlRVBP1;UmlRVBP2;UmlRVBP2;~RF & Schule & ~'UMl;Ferien & ~UmlRVBP1 &;UmlRVBP2;Schule & ~'RF(MoDi)';UmlRVBP1;Schule & ~'RF(MoDi)';UmlRVBP1;~RF & ~'UMlMPL1&4' &;~'UMlMPL1&4' & ~UmlR;~RF & ~'UMlMPL1&4' &;UmlRVBP1;UmlRVBP2;UmlRVBP2;~RF & ~'UMlMPL1&4' &;~'UMlMPL1&4' & ~UmlR;UmlRVBP1;UmlRVBP2;~RF & ~'UMlMPL1&4' &;~'UMlMPL1&4' & ~UmlR;~RF & ~'UMlMPL1&4' &;UmlRVBP1;UmlRVBP1;UmlRVBP2;UmlRVBP2;~RF & ~'UMlMPL1&4' &;~'UMlMPL1&4' & ~UmlR;UmlRVBP2;~RF & ~'UMlMPL1&4' &;UmlRVBP1;UmlRVBP1;UmlRVBP2;~RF & ~'UMlMPL1&4' &;~'UMlMPL1&4' & ~UmlR;~RF & ~'UMlMPL1&4' &;UmlRVBP1;UmlRVBP1;UmlRVBP2;UmlRVBP2;~RF & ~'UMlMPL1&4' &;UmlRVBP1;~'UMlMPL1&4' & ~UmlR;~RF & ~'UMlMPL1&4' &;UmlRVBP1;UmlRVBP2;UmlRVBP2;~RF & Schule & ~'UMl;Schule & ~'UMlMPL1&4;~RF & ~'UMlMPL1&4' &;~'UMlMPL1&4' & ~UmlR;~RF & ~'UMlMPL1&4' &;UmlRVBP1;UmlRVBP1;UmlRVBP2;UmlRVBP2;~RF & Schule & ~'UMl;Schule & ~'UMlMPL1&4;~RF & ~'UMlMPL1&4' &;~'UMlMPL1&4' & ~UmlR;~RF & ~'UMlMPL1&4' &;UmlRVBP1;UmlRVBP1;UmlRVBP2;UmlRVBP2;~RF & ~'UMlMPL1&4' &;~'UMlMPL1&4' & ~UmlR;UmlRVBP1;UmlRVBP2;~RF & ~'UMlMPL1&4' &;~'UMlMPL1&4' & ~UmlR;~RF & ~'UMlMPL1&4' &;UmlRVBP1;UmlRVBP1;UmlRVBP2;UmlRVBP2;~RF & ~'UMlMPL1&4' &;~'UMlMPL1&4' & ~UmlR;UmlRVBP1;UmlRVBP2;~RF & ~'UMlMPL1&4' &;~'UMlMPL1&4' & ~UmlR;~RF & ~'UMlMPL1&4' &;UmlRVBP1;UmlRVBP1;UmlRVBP2;UmlRVBP2;~RF & ~'UMlMPL1&4' &;~'UMlMPL1&4' & ~UmlR;UmlRVBP1;UmlRVBP2;~RF & ~'UMlMPL1&4' &;~'UMlMPL1&4' & ~UmlR;~RF & ~'UMlMPL1&4' &;UmlRVBP1;UmlRVBP1;UmlRVBP2;UmlRVBP2;~RF & ~'UMlMPL1&4' &;~'UMlMPL1&4' & ~UmlR;UmlRVBP1;UmlRVBP2;~RF & ~'UMlMPL1&4' &;~'UMlMPL1&4' & ~UmlR;~RF & ~'UMlMPL1&4' &;UmlRVBP1;UmlRVBP1;UmlRVBP2;UmlRVBP2;~RF & ~'UMlMPL1&4' &;UmlRVBP2;~'UMlMPL1&4' & ~UmlR;UmlRVBP1;~RF & ~'UMlMPL1&4' &;~'UMlMPL1&4' & ~UmlR;~RF & ~'UMlMPL1&4' &;UmlRVBP1;UmlRVBP1;UmlRVBP2;UmlRVBP2;~RF & ~'UMlMPL1&4' &;~'UMlMPL1&4' & ~UmlR;~RF & ~'UMlMPL1&4' &;UmlRVBP1;UmlRVBP1;UmlRVBP2;UmlRVBP2;SEV AuRav;SEV AuRav;SEV AuRav;SEV AuRav;~RF & ~'UMlMPL1&4' &;~RF & ~'UMlMPL1&4' &;~RF & ~'UMlMPL1&4' &;~RF & ~'UMlMPL1&4' &;UmlRVBP1;UmlRVBP1;UmlRVBP1;UmlRVBP2;UmlRVBP2;UmlRVBP2;UmlRVBP2;~RF & ~'UMlMPL1&4' &;UmlRVBP1;SEV AuRav;~RF & ~'UMlMPL1&4' &;~RF & ~'UMlMPL1&4' &;SEV AuRav;SEV AuRav;UmlRVBP1;UmlRVBP2;UmlRVBP2;UmlRVBP2;SEV AuRav;~RF & ~'UMlMPL1&4' &;~RF & ~'UMlMPL1&4' &;~RF & ~'UMlMPL1&4' &;~RF & ~'UMlMPL1&4' &;SEV AuRav;SEV AuRav;SEV AuRav;UmlRVBP1;UmlRVBP1;UmlRVBP1;UmlRVBP2;UmlRVBP2;~RF & ~'UMlMPL1&4' &;~RF & ~'UMlMPL1&4' &;~RF & ~'UMlMPL1&4' &;SEV AuRav;SEV AuRav;SEV AuRav;UmlRVBP1;UmlRVBP1;UmlRVBP2;UmlRVBP2;SEV AuRav;UmlRVBP1;SEV AuRav;~RF & ~'UMlMPL1&4' &;~RF & ~'UMlMPL1&4' &;~RF & ~'UMlMPL1&4' &;~RF & ~'UMlMPL1&4' &;SEV AuRav;SEV AuRav;UmlRVBP1;UmlRVBP2;UmlRVBP1;UmlRVBP2;UmlRVBP2;SEV AuRav;SEV AuRav;~RF & ~'SEV AuRav' &;~RF & ~'SEV AuRav' &;SEV AuRav;~RF & ~'SEV AuRav' &;UmlRVBP2;UmlRVBP1;UmlRVBP1;UmlRVBP1;UmlRVBP2;UmlRVBP2;~RF & ~'SEV AuRav' &;~RF & ~'SEV AuRav' &;~RF & ~'SEV AuRav' &;SEV AuRav;SEV AuRav;UmlRVBP2;SEV AuRav;UmlRVBP1;UmlRVBP1;UmlRVBP2;UmlRVBP1;UmlRVBP2;SEV AuRav;SEV AuRav;~RF & ~'SEV AuRav' &;~RF & ~'SEV AuRav' &;UmlRVBP1;UmlRVBP1;UmlRVBP2;UmlRVBP2;~UmlRVBP1 & ~UmlRVBP;~UmlRVBP1 & ~UmlRVBP;~RF & ~'SEV AuRav' &;~RF & ~'SEV AuRav' &;SEV AuRav;SEV AuRav;UmlRVBP1;UmlRVBP1;~UmlRVBP1 & ab30.07;~UmlRVBP1 & ab30.07
Fahrtart;N;N;N;N;N;N;N;N;S;S;N;N;N;N;N;N;N;S;F;F;S;F;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S;N;N;N;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
Fahrzeugtyp;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;GL;GL;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;ZUG;ZUG;ZUG;ZUG;GL;GL;GL;GL;GL;GL;ZUG;ZUG;ZUG;ZUG;GL;GL;GL;GL
Zielnummer der Route;8404;8404;8688;8688;8404;8404;8688;8688;8143;8143;8404;8404;8404;8688;8688;8688;8688;8478;8404;8688;8478;8688;8138;8688;8404;8404;8404;8688;8688;8688;8404;8404;8688;8688;8404;8404;8404;8688;8688;8688;8688;8404;8404;8688;8404;8688;8688;8688;8404;8404;8404;8688;8688;8688;8688;8404;8688;8404;8404;8688;8688;8688;8404;8404;8404;8404;8404;8688;8688;8688;8688;8404;8404;8404;8404;8404;8688;8688;8688;8688;8098;8098;8689;8689;8404;8404;8404;8688;8688;8688;8688;8098;8098;8689;8689;8404;8404;8404;8688;8688;8688;8688;8404;8404;8688;8688;8404;8404;8404;8688;8688;8688;8688;8404;8404;8688;8688;8404;8404;8404;8688;8688;8688;8688;8404;8688;8404;8688;8404;8404;8404;8688;8688;8688;8688;8404;8404;8404;8688;8688;8688;8688;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8474;8477;8477;8477;8477;8477;8477;8477;8477;8477;8477;8477;8477;8477;8477;8477;8477;8477;8477
Zieltext der Route;Ravensburg;Ravensburg;Möttelinstrasse-;Möttelinstrasse-;Ravensburg;Ravensburg;Möttelinstrasse-;Möttelinstrasse-;Polizeipräsidium;Polizeipräsidium;Ravensburg;Ravensburg;Ravensburg;Möttelinstrasse-;Möttelinstrasse-;Möttelinstrasse-;Möttelinstrasse-;RV BZ St. Konrad;Ravensburg;Möttelinstrasse-;RV BZ St. Konrad;Möttelinstrasse-;Weissenau;Möttelinstrasse-;Ravensburg;Ravensburg;Ravensburg;Möttelinstrasse-;Möttelinstrasse-;Möttelinstrasse-;Ravensburg;Ravensburg;Möttelinstrasse-;Möttelinstrasse-;Ravensburg;Ravensburg;Ravensburg;Möttelinstrasse-;Möttelinstrasse-;Möttelinstrasse-;Möttelinstrasse-;Ravensburg;Ravensburg;Möttelinstrasse-;Ravensburg;Möttelinstrasse-;Möttelinstrasse-;Möttelinstrasse-;Ravensburg;Ravensburg;Ravensburg;Möttelinstrasse-;Möttelinstrasse-;Möttelinstrasse-;Möttelinstrasse-;Ravensburg;Möttelinstrasse-;Ravensburg;Ravensburg;Möttelinstrasse-;Möttelinstrasse-;Möttelinstrasse-;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Möttelinstrasse-;Möttelinstrasse-;Möttelinstrasse-;Möttelinstrasse-;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Möttelinstrasse-;Möttelinstrasse-;Möttelinstrasse-;Möttelinstrasse-;Ravensburg;Ravensburg;Möttelinstrasse-;Möttelinstrasse-;Ravensburg;Ravensburg;Ravensburg;Möttelinstrasse-;Möttelinstrasse-;Möttelinstrasse-;Möttelinstrasse-;Ravensburg;Ravensburg;Möttelinstrasse-;Möttelinstrasse-;Ravensburg;Ravensburg;Ravensburg;Möttelinstrasse-;Möttelinstrasse-;Möttelinstrasse-;Möttelinstrasse-;Ravensburg;Ravensburg;Möttelinstrasse-;Möttelinstrasse-;Ravensburg;Ravensburg;Ravensburg;Möttelinstrasse-;Möttelinstrasse-;Möttelinstrasse-;Möttelinstrasse-;Ravensburg;Ravensburg;Möttelinstrasse-;Möttelinstrasse-;Ravensburg;Ravensburg;Ravensburg;Möttelinstrasse-;Möttelinstrasse-;Möttelinstrasse-;Möttelinstrasse-;Ravensburg;Möttelinstrasse-;Ravensburg;Möttelinstrasse-;Ravensburg;Ravensburg;Ravensburg;Möttelinstrasse-;Möttelinstrasse-;Möttelinstrasse-;Möttelinstrasse-;Ravensburg;Ravensburg;Ravensburg;Möttelinstrasse-;Möttelinstrasse-;Möttelinstrasse-;Möttelinstrasse-;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;RV Bahnhof;Bavendorf-;Bavendorf-;Bavendorf-;Bavendorf-;Bavendorf-;Bavendorf-;Bavendorf-;Bavendorf-;Bavendorf-;Bavendorf-;Bavendorf-;Bavendorf-;Bavendorf-;Bavendorf-;Bavendorf-;Bavendorf-;Bavendorf-;Bavendorf-
