Linienvariante;1;1;1;1;1;3;1;2;1;1;1;1;1;1;1;1
Route;5;5;5;5;5;6;5;7;5;5;5;5;5;5;5;5
Fahrzeitprofil;FZP1;FZP1;FZP1;FZP1;FZP1;FZP2;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1
Betriebstagsgruppe;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?
Verkehrsbeschränkung;S;!;S;!;S;17;S;17;S;S;!;S;!;S;!;S
Planungsbedingung;Schule;;Schule;;Schule;~RF & Schule;Schule;Schule & ~'RF(MoDi)';Schule;Schule;;Schule;;Schule;;Schule
Fahrtart;S;N;S;N;S;S;S;S;S;S;N;S;N;S;N;S
Fahrzeugtyp;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO
Zielnummer der Route;8430;8430;8430;8430;8430;8495;8430;8505;8430;8430;8430;8430;8430;8430;8430;8430
Zieltext der Route;Baienfurt;Baienfurt;Baienfurt;Baienfurt;Baienfurt;Baienfurt;Baienfurt;Baindt Schachen;Baienfurt;Baienfurt;Baienfurt;Baienfurt;Baienfurt;Baienfurt;Baienfurt;Baienfurt
Fahrtlänge;10120;10120;10120;10120;10120;8471;10120;9086;10120;10120;10120;10120;10120;10120;10120;10120
Fahrtnummer;7305001;7305003;7305005;7305007;7305009;7305017;7305019;7305023;7305025;7305031;7305033;7305035;7305037;7305039;7305041;7305043
Fußnoten für Fahrplanbuch;Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1]
Durchbindung von;;;;;;;;;;;;;;;;
Durchbindung auf;;;;;;;;;;;;;;;;
Ravensburg, Bahnhof, Mast 8;06:04;06:34;07:04;07:34;08:04;;12:04;;12:40;15:04;15:34;16:04;16:34;17:04;17:34;18:04
Ravensburg, Frauentor, Mast 3;06:07;06:37;07:07;07:37;08:07;;12:07;;12:43;15:07;15:37;16:07;16:37;17:07;17:37;18:07
Ravensburg, Gymnasien, Mast 2;06:08;06:38;07:08;07:38;08:08;;12:08;;12:44;15:08;15:38;16:08;16:38;17:08;17:38;18:08
RV, St. Elisabethen-Klinikum, Mast 2;06:09;06:39;07:09;07:39;08:09;;12:09;;12:45;15:09;15:39;16:09;16:39;17:09;17:39;18:09
Ravensburg, Polizeipräsidium, Mast 2;06:11;06:41;07:11;07:41;08:11;;12:11;;12:47;15:11;15:41;16:11;16:41;17:11;17:41;18:11
Ravensburg, Berufsschulzentrum, Mast 2;06:12;06:42;07:12;07:42;08:12;;12:12;;12:48;15:12;15:42;16:12;16:42;17:12;17:42;18:12
Weingarten, Krankenhaus 14 Nothelfer, Mast 2;06:13;06:43;07:13;07:43;08:13;;12:13;;12:49;15:13;15:43;16:13;16:43;17:13;17:43;18:13
Weingarten, Linse, Mast 2;06:15;06:45;07:15;07:45;08:15;;12:15;;12:51;15:15;15:45;16:15;16:45;17:15;17:45;18:15
RV, Bildungszentrum St.Konrad, Mast 2;-;-;-;-;-;11:40;-;12:35;-;-;-;-;-;-;-;-
Ravensburg, Berufsschulzentrum, Mast 2;-;-;-;-;-;-;-;12:38;-;-;-;-;-;-;-;-
Weingarten, Marienkirche, Mast 2;-;-;-;-;-;11:46;-;12:41;-;-;-;-;-;-;-;-
Weingarten, St.-Konrad-Str., Mast 2;-;-;-;-;-;11:47;-;12:42;-;-;-;-;-;-;-;-
Weingarten, Charlottenplatz, Mast 4;06:17;06:47;07:17;07:47;08:17;-;12:17;-;12:53;15:17;15:47;16:17;16:47;17:17;17:47;18:17
Weingarten, Blumenau, Mast 3;-;-;-;-;-;11:48;-;12:43;-;-;-;-;-;-;-;-
Weingarten, Schulzentrum, Mast 2;06:18;06:48;07:18;07:48;08:18;11:49;12:18;12:44;12:54;15:18;15:48;16:18;16:48;17:18;17:48;18:18
Weingarten, Hl.-Geist-Kirche, Mast 2;06:19;06:49;07:19;07:49;08:19;11:51;12:19;12:46;12:55;15:19;15:49;16:19;16:49;17:19;17:49;18:19
Weingarten, Lerchenfeld, Mast 2;06:21;06:51;07:21;07:51;08:21;11:53;12:21;12:48;12:57;15:21;15:51;16:21;16:51;17:21;17:51;18:21
Baienfurt, Niederbiegen, Mast 2;06:25;06:55;07:25;07:55;08:25;11:57;12:25;12:52;13:01;15:25;15:55;16:25;16:55;17:25;17:55;18:25
Baienfurt, Weidenösch, Mast 2;06:26;06:56;07:26;07:56;08:26;11:58;12:26;12:53;13:02;15:26;15:56;16:26;16:56;17:26;17:56;18:26
Baienfurt, Post, Mast 2;06:29;06:59;07:29;07:59;08:29;12:01;12:29;12:56;13:05;15:29;15:59;16:29;16:59;17:29;17:59;18:29
Baienfurt, Schacherösch, Mast 1;06:32;07:02;07:32;08:02;08:32;12:04;12:32;12:59;13:08;15:32;16:02;16:32;17:02;17:32;18:02;18:32
Baindt Schachen, Ort, Mast 1;;;;;;;;13:02;;;;;;;;
