Linienvariante;;5;1;4;4UML;4UML;1;4;4;4UML;4UML;3;1;4UML;4;4UML;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1UML;1;1UML;1;1UML;1;1UML;1
Route;;8;2;3;10;10;2;3;3;10;10;4;2;10;3;10;2;1;1;1;1;1;1;1;1;2;1;1;1;1;2;9;2;9;2;9;2;9;2
Fahrzeitprofil;;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP2;FZP1;FZP2;FZP1;FZP2;FZP1;FZP2;FZP1;FZP1;FZP2;FZP1;FZP2;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1
Betriebstagsgruppe;;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?
Verkehrsbeschränkung;;!;S;!;78;!;S;S;!;78;!;17;S;!;!;78;S;2;!;2;!;2;!;2;F;S;2;!;2;!;S;78;!;!;S;78;!;!;S
Planungsbedingung;;;Schule;~UmlRVBP1 & ~UmlRVBP;UmlRVBP1;UmlRVBP2;Schule;Schule;Ferien & ~UmlRVBP1 &;UmlRVBP1;UmlRVBP2;Schule & ~'RF(Di)';Schule;UmlRVBP2;~UmlRVBP1 & ~UmlRVBP;UmlRVBP1;Schule;;;;;;;;Ferien;Schule;;;;;Schule;UmlRVBP1;~UmlRVBP1 & ~UmlRVBP;UmlRVBP2;Schule;UmlRVBP1;~UmlRVBP1 & ~UmlRVBP;UmlRVBP2;Schule
Fahrtart;;N;S;N;N;N;S;S;F;F;F;S;S;N;N;N;S;N;N;N;N;N;N;N;N;S;N;N;N;N;S;N;N;N;S;N;N;N;S
Fahrzeugtyp;;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;GL;SOLO;SOLO;SOLO;GL;SOLO;SOLO;SOLO;SOLO;SOLO;AST;AST;AST;AST;AST;AST;AST;AST;SOLO;AST;AST;AST;AST;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO
Zielnummer der Route;;8510;8511;8515;8692;8692;8511;8515;8515;8692;8692;8526;8511;8692;8515;8692;8511;8536;8536;8536;8536;8536;8536;8536;8536;8511;8536;8536;8536;8536;8511;8692;8511;8692;8511;8692;8511;8692;8511
Zieltext der Route;;Weingarten;Ravensburg;Ravensburg;Möttelinstrasse-;Möttelinstrasse-;Ravensburg;Ravensburg;Ravensburg;Möttelinstrasse-;Möttelinstrasse-;Ravensburg;Ravensburg;Möttelinstrasse-;Ravensburg;Möttelinstrasse-;Ravensburg;Rufbus;Rufbus;Rufbus;Rufbus;Rufbus;Rufbus;Rufbus;Rufbus;Ravensburg;Rufbus;Rufbus;Rufbus;Rufbus;Ravensburg;Möttelinstrasse-;Ravensburg;Möttelinstrasse-;Ravensburg;Möttelinstrasse-;Ravensburg;Möttelinstrasse-;Ravensburg
Fahrtlänge;;1499;9977;10578;10644;10644;9977;10578;10578;10644;10644;8394;9977;10644;10578;10644;9977;8190;8190;8190;8190;8190;8190;8190;8190;9977;8190;8190;8190;8190;9977;10043;9977;10043;9977;10043;9977;10043;9977
Fahrtnummer;;7305002;7305004;7305006;7305006;7305006;7305008;7305010;7305010;7305010;7305010;7305012;7305014;7305016;7305016;7305016;7305018;7305102;7305020;7305104;7305022;7305106;7305024;7305108;7305026;7305028;7305110;7305030;7305112;7305032;7305034;7305036;7305036;7305036;7305038;7305040;7305040;7305040;7305042
Fußnoten für Fahrplanbuch;;Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];R1 + [1];R1 + [1];R1 + [1];R1 + [1];R1 + [1];R1 + [1];R1 + [1];R1 + [1];Rollie + [1];R1 + [1];R1 + [1];R1 + [1];R1 + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1]
Durchbindung von;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Durchbindung auf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Baienfurt, Achtalschule, Mast 2;;;;;;;;;;;;;;;;;;09:09;09:24;10:09;10:24;11:09;11:24;12:09;12:24;;13:09;13:24;14:09;14:24;;;;;;;;;
