Linienvariante;3;3;3;3;5;5;1;3;3;3;3;3;3;1;1;1;3;3;3;3;3;3;3;3;5;5;3;3;3;3;3;3;3;3;3;3;3;3;1;1;1;3;3;3;3;3;3;2;2;2;5;3;3;3;3;3;2;2;2;3;3;2;2;1;1;1;3;3;3;3;3;3;3;3;5;5;6;6;3;3;3;3;2;3;2;2;3;2;3;2;1;1;1;3;3;3;3;3;3;3;3;2;5;3;3;3;3;3;2;2;2;3;3;2;2;1;1;1;3;3;3;3;3;4;3;4;5;5;3;3;3;3;3;3;3;2;2;2;4;3;2;2;1;1;1;3;3;3;3;3;3;3;3;4;4;5;5;3;3;3;3;3;3;4;4;4;4;4;1;1;1;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
Route;21;21;21;21;26;26;12;21;21;21;21;21;21;7;7;7;21;21;21;21;21;21;21;21;25;25;21;21;21;21;22;22;22;22;21;21;21;21;7;7;7;21;21;21;21;21;21;17;17;17;25;21;21;21;21;22;18;18;18;21;21;17;17;7;7;7;21;21;21;21;21;21;21;21;25;25;27;27;21;21;21;21;18;22;18;18;21;17;21;17;7;7;7;21;21;21;21;21;21;21;21;17;25;21;21;21;21;22;18;18;18;21;21;17;17;7;7;7;21;21;21;21;21;24;21;24;25;25;21;21;22;22;22;22;22;18;18;18;24;21;17;17;7;7;7;21;21;22;22;22;22;21;21;24;24;25;25;21;21;22;22;22;22;23;23;23;23;23;7;7;7;25;25;23;23;23;23;23;23;23;23;23;23;23;23;24;24;23;23;23;23
Fahrzeitprofil;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1
Betriebstagsgruppe;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;16 Mi;108 Mo-Di+Do-Fr;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?
Verkehrsbeschränkung;!;!;!;!;!;!;S;!;!;!;!;!;!;93;!;81;!;!;!;!;!;!;!;!;!;!;!;!;!;!;99;!;81;93;!;!;!;!;93;!;81;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;99;81;93;!;!;!;!;!;81;93;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;99;!;81;93;!;!;!;!;!;81;93;!;!;!;!;!;!;!;!;!;!;!;!;!;!;!;99;81;93;!;!;!;!;!;81;93;!;!;!;!;!;!;!;!;!;!;!;!;!;!;83;91;!;99;81;93;!;!;!;!;!;81;93;!;!;!;!;83;91;!;!;!;!;!;!;!;!;99;!;81;93;!;!;!;78;!;93;!;81;!;!;!;99;81;93;!;!;!;78;!;!;83;91;!;!;!;83;91;!
Planungsbedingung;BadWgt;~BadWgt;BadWgt;~BadWgt;~RF & BadWgt;~BadWgt;Schule;BadWgt;~BadWgt;~RF & BadWgt;BadWgt;~BadWgt;~BadWgt;UmlRVBP2;~RF & ~'UMlMPL1&4' &;UmlRVBP1;BadWgt;~RF & BadWgt;~BadWgt;~BadWgt;BadWgt;~RF & BadWgt;~BadWgt;~BadWgt;~RF & BadWgt;~BadWgt;BadWgt;~BadWgt;~RF & BadWgt;~BadWgt;~RF & BadWgt & ~UmlR;~'UMlMPL1&4' & ~BadW;UmlRVBP1;UmlRVBP2;~BadWgt;BadWgt;~RF & BadWgt;~BadWgt;UmlRVBP2;~RF & ~'UMlMPL1&4' &;UmlRVBP1;BadWgt;~RF & BadWgt;~BadWgt;~BadWgt;~BadWgt;~BadWgt;BadWgt;~RF & BadWgt;~RF & BadWgt;~BadWgt;~BadWgt;BadWgt;~RF & BadWgt;~BadWgt;~'UMlMPL1&4' & ~BadW;~RF & BadWgt & ~UmlR;UmlRVBP1;UmlRVBP2;~BadWgt;~BadWgt;BadWgt;~RF & BadWgt;~RF & ~'UMlMPL1&4' &;UmlRVBP1;UmlRVBP2;BadWgt;~BadWgt;~RF & BadWgt;~BadWgt;~RF & BadWgt;BadWgt;~BadWgt;~BadWgt;~RF & BadWgt;~BadWgt;Schule & BadWgt;Schule & ~BadWgt;BadWgt;~RF & BadWgt;~BadWgt;~BadWgt;~RF & BadWgt & ~UmlR;~'UMlMPL1&4' & ~BadW;UmlRVBP1;UmlRVBP2;~BadWgt;BadWgt;~BadWgt;~RF & BadWgt;~RF & ~'UMlMPL1&4' &;UmlRVBP1;UmlRVBP2;BadWgt;~RF & BadWgt;~BadWgt;~BadWgt;BadWgt;~RF & BadWgt;~BadWgt;~BadWgt;~RF & BadWgt;~BadWgt;BadWgt;~RF & BadWgt;~BadWgt;~BadWgt;~'UMlMPL1&4' & ~BadW;~RF & BadWgt & ~UmlR;UmlRVBP1;UmlRVBP2;~BadWgt;~BadWgt;BadWgt;~RF & BadWgt;~RF & ~'UMlMPL1&4' &;UmlRVBP1;UmlRVBP2;BadWgt;~RF & BadWgt;~BadWgt;~BadWgt;BadWgt;~RF & BadWgt;~BadWgt;~BadWgt;~RF & BadWgt;~BadWgt;~BadWgt;BadWgt;~RF & BadWgt & ~UmlR;~'UMlMPL1&4' & ~BadW;UmlRVBP1;UmlRVBP2;~'UMlMPL1&4' & ~BadW;~RF & BadWgt & ~UmlR;UmlRVBP1;UmlRVBP2;~BadWgt;~BadWgt;BadWgt;~RF & BadWgt;~RF & ~'UMlMPL1&4' &;UmlRVBP1;UmlRVBP2;~BadWgt;BadWgt;~RF & BadWgt & ~UmlR;~'UMlMPL1&4' & ~BadW;UmlRVBP1;UmlRVBP2;~BadWgt;BadWgt;~RF & BadWgt;~BadWgt;~RF & BadWgt;~BadWgt;~BadWgt;BadWgt;~RF & BadWgt & ~UmlR;~'UMlMPL1&4' & ~BadW;UmlRVBP1;UmlRVBP2;BadWgt & ~UmlRVBP1 &;~RF & BadWgt & ~UmlR;~'UMlMPL1&4' & ~BadW;UmlRVBP1;UmlRVBP2;UmlRVBP2;~RF & ~'UMlMPL1&4' &;UmlRVBP1;~RF & BadWgt;~BadWgt;~'UMlMPL1&4' & ~BadW;~RF & BadWgt & ~UmlR;UmlRVBP1;UmlRVBP2;~'UMlMPL1&4' & ~BadW;~RF & BadWgt & ~UmlR;~RF & BadWgt & ~UmlR;UmlRVBP1;UmlRVBP2;~'UMlMPL1&4' & ~BadW;UmlRVBP1;UmlRVBP2;~RF & BadWgt;~BadWgt;~RF & BadWgt & ~UmlR;UmlRVBP1;UmlRVBP2;~'UMlMPL1&4' & ~BadW
Fahrtart;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
Fahrzeugtyp;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO
Zielnummer der Route;8528;8528;8528;8528;8528;8528;8547;8528;8528;8528;8528;8528;8528;8569;8569;8569;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8569;8569;8569;8528;8528;8528;8528;8528;8528;8537;8537;8537;8528;8528;8528;8528;8528;8528;8537;8537;8537;8528;8528;8537;8537;8569;8569;8569;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8537;8528;8537;8537;8528;8537;8528;8537;8569;8569;8569;8528;8528;8528;8528;8528;8528;8528;8528;8537;8528;8528;8528;8528;8528;8528;8537;8537;8537;8528;8528;8537;8537;8569;8569;8569;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8537;8537;8537;8528;8528;8537;8537;8569;8569;8569;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8569;8569;8569;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528;8528
Zieltext der Route;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Schulzentrum;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Charlottenplatz;Charlottenplatz;Charlottenplatz;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Charlottenplatz;Charlottenplatz;Charlottenplatz;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Weingarten;Weingarten;Weingarten;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Weingarten;Weingarten;Weingarten;Wgt Oberstadt;Wgt Oberstadt;Weingarten;Weingarten;Charlottenplatz;Charlottenplatz;Charlottenplatz;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Weingarten;Wgt Oberstadt;Weingarten;Weingarten;Wgt Oberstadt;Weingarten;Wgt Oberstadt;Weingarten;Charlottenplatz;Charlottenplatz;Charlottenplatz;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Weingarten;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Weingarten;Weingarten;Weingarten;Wgt Oberstadt;Wgt Oberstadt;Weingarten;Weingarten;Charlottenplatz;Charlottenplatz;Charlottenplatz;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Weingarten;Weingarten;Weingarten;Wgt Oberstadt;Wgt Oberstadt;Weingarten;Weingarten;Charlottenplatz;Charlottenplatz;Charlottenplatz;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Charlottenplatz;Charlottenplatz;Charlottenplatz;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt;Wgt Oberstadt
