Linienvariante;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;100;100;1;100;100;100;1;1;1;1;100;1;1;100;100;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;100;1;1;100;100;1;1;1;1;1;1;1;1;1;1;100;100;100;1;1;1;1;100;1;1;100;100;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;100;1;3;100;101;1;1;1;4;4;1;1;1;3;1;1;1;1;1;1;3;3;3;3;3;1;1;1;1;1;1;3;3;3;3;3;3;1;1;1;3;3;3;3;3
Route;14;14;5;5;5;5;3;3;3;4;5;5;5;5;5;5;6;6;6;5;5;5;5;5;5;3;3;3;5;5;5;5;5;5;5;6;6;6;5;5;5;5;5;19;19;3;20;20;20;5;5;5;5;19;5;5;19;19;6;6;6;5;5;5;5;5;5;3;3;3;2;2;5;5;5;5;19;5;5;19;19;6;6;6;5;5;5;5;5;5;3;20;20;20;5;5;5;5;19;5;5;19;19;6;6;6;5;5;5;15;5;5;3;3;3;5;5;5;5;19;5;15;19;16;6;6;6;13;13;5;5;5;15;3;3;3;5;5;5;15;15;15;15;15;6;6;6;3;3;3;15;15;15;15;15;15;6;6;6;15;15;15;15;15
Fahrzeitprofil;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1
Betriebstagsgruppe;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;16 Mi;108 Mo-Di+Do-Fr;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?
Verkehrsbeschränkung;!;!;!;!;!;!;81;!;93;S;!;2;!;!;2;!;!;81;93;!;2;!;!;!;2;81;!;93;!;!;2;!;!;2;!;!;81;93;!;2;!;!;!;!;!;!;81;99;93;!;2;!;!;!;!;!;!;!;!;81;93;2;!;!;!;2;!;!;81;93;!;!;!;!;2;!;!;!;!;!;!;!;81;93;!;2;!;!;2;!;!;99;81;93;!;2;!;!;!;!;!;!;!;!;81;93;!;!;2;2;!;!;!;81;93;2;!;!;!;!;!;!;!;!;!;93;81;!;!;2;!;!;2;!;81;93;!;!;!;!;!;!;78;!;!;81;93;!;81;93;!;!;!;2;78;!;!;81;93;!;!;!;83;91
Planungsbedingung;BadWgt;~BadWgt;BadWgt;~BadWgt;BadWgt;~BadWgt;UmlRVBP1;~RF & ~'UMlMPL1&4' &;UmlRVBP2;Schule;BadWgt;;~BadWgt;BadWgt;;~BadWgt;~RF & ~'UMlMPL1&4' &;UmlRVBP1;UmlRVBP2;BadWgt;;~BadWgt;BadWgt;~BadWgt;;UmlRVBP1;~RF & ~'UMlMPL1&4' &;UmlRVBP2;~BadWgt;BadWgt;;;BadWgt;;~BadWgt;~RF & ~'UMlMPL1&4' &;UmlRVBP1;UmlRVBP2;BadWgt;;~BadWgt;~BadWgt;~BadWgt;~RF & BadWgt;BadWgt;~'UMlMPL1&4' & ~BadW;UmlRVBP1;~RF & BadWgt & ~UmlR;UmlRVBP2;BadWgt;;~BadWgt;~BadWgt;~RF & BadWgt;~BadWgt;~BadWgt;~RF & BadWgt;BadWgt;~RF & ~'UMlMPL1&4' &;UmlRVBP1;UmlRVBP2;;~BadWgt;BadWgt;BadWgt;;~BadWgt;~RF & ~'UMlMPL1&4' &;UmlRVBP1;UmlRVBP2;Schule & BadWgt;Schule & ~BadWgt;BadWgt;~BadWgt;;~BadWgt;~RF & BadWgt;~BadWgt;~BadWgt;BadWgt;~RF & BadWgt;~RF & ~'UMlMPL1&4' &;UmlRVBP1;UmlRVBP2;BadWgt;;~BadWgt;BadWgt;;~BadWgt;~'UMlMPL1&4' & ~BadW;~RF & BadWgt & ~UmlR;UmlRVBP1;UmlRVBP2;BadWgt;;~BadWgt;~BadWgt;~RF & BadWgt;~BadWgt;~BadWgt;BadWgt;~RF & BadWgt;~RF & ~'UMlMPL1&4' &;UmlRVBP1;UmlRVBP2;~BadWgt;BadWgt;;;BadWgt;~BadWgt;~RF & ~'UMlMPL1&4' &;UmlRVBP1;UmlRVBP2;;BadWgt;~BadWgt;~BadWgt;~RF & BadWgt;~BadWgt;~BadWgt;BadWgt;~RF & BadWgt;~RF & ~'UMlMPL1&4' &;UmlRVBP2;UmlRVBP1;BadWgt;~BadWgt;;BadWgt;~BadWgt;;~RF & ~'UMlMPL1&4' &;UmlRVBP1;UmlRVBP2;~BadWgt;BadWgt;;~'UMlMPL1&4' & ~BadW;BadWgt & ~UmlRVBP1 &;~RF & BadWgt & ~UmlR;UmlRVBP1;UmlRVBP2;~RF & ~'UMlMPL1&4' &;UmlRVBP1;UmlRVBP2;~RF & ~'UMlMPL1&4' &;UmlRVBP1;UmlRVBP2;;~'UMlMPL1&4' & ~BadW;~RF & BadWgt & ~UmlR;;UmlRVBP1;UmlRVBP2;~RF & ~'UMlMPL1&4' &;UmlRVBP1;UmlRVBP2;;~RF & BadWgt & ~UmlR;~'UMlMPL1&4' & ~BadW;UmlRVBP1;UmlRVBP2
Fahrtart;N;N;N;N;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
Fahrzeugtyp;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO
Zielnummer der Route;8543;8543;8531;8531;8531;8531;8570;8570;8570;8547;8531;8531;8531;8531;8531;8531;8543;8543;8543;8531;8531;8531;8531;8531;8531;8570;8570;8570;8531;8531;8531;8531;8531;8531;8531;8543;8543;8543;8531;8531;8531;8531;8531;8534;8534;8570;8570;8570;8570;8531;8531;8531;8531;8534;8531;8531;8534;8534;8543;8543;8543;8531;8531;8531;8531;8531;8531;8570;8570;8570;8400;8400;8531;8531;8531;8531;8534;8531;8531;8534;8534;8543;8543;8543;8531;8531;8531;8531;8531;8531;8570;8570;8570;8570;8531;8531;8531;8531;8534;8531;8531;8534;8534;8543;8543;8543;8531;8531;8531;8552;8531;8531;8570;8570;8570;8531;8531;8531;8531;8534;8531;8552;8534;8552;8543;8543;8543;8531;8531;8531;8531;8531;8552;8570;8570;8570;8531;8531;8531;8552;8552;8552;8552;8552;8543;8543;8543;8570;8570;8570;8552;8552;8552;8552;8552;8552;8543;8543;8543;8552;8552;8552;8552;8552
Zieltext der Route;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Weingarten Post;Weingarten Post;Weingarten Post;Schulzentrum;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Weingarten Post;Weingarten Post;Weingarten Post;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld über;Lerchenfeld über;Weingarten Post;Weingarten Post;Weingarten Post;Weingarten Post;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld über;Lerchenfeld;Lerchenfeld;Lerchenfeld über;Lerchenfeld über;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Weingarten Post;Weingarten Post;Weingarten Post;Schulbus;Schulbus;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld über;Lerchenfeld;Lerchenfeld;Lerchenfeld über;Lerchenfeld über;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Weingarten Post;Weingarten Post;Weingarten Post;Weingarten Post;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld über;Lerchenfeld;Lerchenfeld;Lerchenfeld über;Lerchenfeld über;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Bahnhofstrasse;Lerchenfeld;Lerchenfeld;Weingarten Post;Weingarten Post;Weingarten Post;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld über;Lerchenfeld;Bahnhofstrasse;Lerchenfeld über;Bahnhofstrasse;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Lerchenfeld;Bahnhofstrasse;Weingarten Post;Weingarten Post;Weingarten Post;Lerchenfeld;Lerchenfeld;Lerchenfeld;Bahnhofstrasse;Bahnhofstrasse;Bahnhofstrasse;Bahnhofstrasse;Bahnhofstrasse;Lerchenfeld;Lerchenfeld;Lerchenfeld;Weingarten Post;Weingarten Post;Weingarten Post;Bahnhofstrasse;Bahnhofstrasse;Bahnhofstrasse;Bahnhofstrasse;Bahnhofstrasse;Bahnhofstrasse;Lerchenfeld;Lerchenfeld;Lerchenfeld;Bahnhofstrasse;Bahnhofstrasse;Bahnhofstrasse;Bahnhofstrasse;Bahnhofstrasse
