Linienvariante;2;2;2UML;2;2UML;2UML;2UML2;2UML2;2UML2;2;2;2;2UML;2UML;2UML;2UML2;2UML2;2UML2;2;2;2;2UML;2UML;2UML;2UML2;2UML2;2UML2;2;2;2;2UML;2UML;2UML;2UML2;2UML2;2UML2;2UML;2;2;2UML;2UML;2;2UML2;2UML2;2UML2;2;2;2;2UML;2UML;2UML;2UML2;2UML2;2UML2;2UML;2;2;2;2UML;2UML;2UML2;2UML2;2UML2;2;2;2;2UML;2UML;2UML;2UML2;2UML2;2UML2;2;2;2;2UML;2UML;2UML;2UML2;2UML2;2UML2;2;2;2;2UML;2UML;2UML;2UML2;2UML2;2UML2
Route;2;2;5;2;5;5;4;4;4;2;2;2;5;5;5;4;4;4;2;2;2;5;5;5;4;4;4;2;2;2;5;5;5;4;4;4;5;2;2;5;5;2;4;4;4;2;2;2;5;5;5;4;4;4;5;2;2;2;5;5;4;4;4;2;2;2;5;5;5;4;4;4;2;2;2;5;5;5;4;4;4;2;2;2;5;5;5;4;4;4
Fahrzeitprofil;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1
Betriebstagsgruppe;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?
Verkehrsbeschränkung;!;!;83;!;78;81;79;!;93;!;!;!;78;81;83;79;93;!;!;!;!;78;83;81;91;!;93;!;!;!;83;81;78;79;93;!;78;!;!;81;83;!;!;93;91;!;!;!;78;83;81;79;!;93;78;!;!;!;81;83;79;!;93;!;!;!;78;81;83;91;!;93;!;!;!;78;83;81;79;93;!;!;!;!;78;81;83;93;!;79
Planungsbedingung;Bad & ~UmlRVBP1 & ~U;~RF & Bad & ~UmlRVBP;UmlRVBP1;~RF & Bad & ~UmlRVBP;UmlRVBP1;UmlRVBP1;Bad & UmlRVBP2;Bad & UmlRVBP2;Bad & UmlRVBP2;Bad & ~UmlRVBP1 & ~U;~RF & Bad & ~UmlRVBP;~RF & Bad & ~UmlRVBP;UmlRVBP1;UmlRVBP1;UmlRVBP1;Bad & UmlRVBP2;Bad & UmlRVBP2;Bad & UmlRVBP2;~RF & BadGar & ~UmlR;BadGar & ~UmlRVBP1 &;~RF & BadGar & ~UmlR;UmlRVBP1;UmlRVBP1;UmlRVBP1;UmlRVBP2;UmlRVBP2;UmlRVBP2;Bad & ~UmlRVBP1 & ~U;~RF & Bad & ~UmlRVBP;~RF & Bad & ~UmlRVBP;UmlRVBP1;UmlRVBP1;UmlRVBP1;Bad & UmlRVBP2;Bad & UmlRVBP2;Bad & UmlRVBP2;UmlRVBP1;~RF & BadGar & ~UmlR;BadGar & ~UmlRVBP1 &;UmlRVBP1;UmlRVBP1;~RF & BadGar & ~UmlR;UmlRVBP2;UmlRVBP2;UmlRVBP2;Bad & ~UmlRVBP1 & ~U;~RF & Bad & ~UmlRVBP;~RF & Bad & ~UmlRVBP;UmlRVBP1;UmlRVBP1;UmlRVBP1;Bad & UmlRVBP2;Bad & UmlRVBP2;Bad & UmlRVBP2;UmlRVBP1;~RF & Bad & ~UmlRVBP;Bad & ~UmlRVBP1 & ~U;~RF & Bad & ~UmlRVBP;UmlRVBP1;UmlRVBP1;Bad & UmlRVBP2;Bad & UmlRVBP2;Bad & UmlRVBP2;BadGar & ~UmlRVBP1 &;~RF & BadGar & ~UmlR;~RF & BadGar & ~UmlR;UmlRVBP1;UmlRVBP1;UmlRVBP1;UmlRVBP2;UmlRVBP2;UmlRVBP2;Bad & ~UmlRVBP1 & ~U;~RF & Bad & ~UmlRVBP;~RF & Bad & ~UmlRVBP;UmlRVBP1;UmlRVBP1;UmlRVBP1;Bad & UmlRVBP2;Bad & UmlRVBP2;Bad & UmlRVBP2;Bad & ~UmlRVBP1 & ~U;~RF & Bad & ~UmlRVBP;~RF & Bad & ~UmlRVBP;UmlRVBP1;UmlRVBP1;UmlRVBP1;Bad & UmlRVBP2;Bad & UmlRVBP2;Bad & UmlRVBP2
Fahrtart;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
Fahrzeugtyp;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;GL;SOLO;GL;GL;SOLO;GL;GL;SOLO;GL;GL;SOLO;GL;GL;SOLO;GL;GL;GL;GL;SOLO
Zielnummer der Route;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572;8572
Zieltext der Route;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus;Badebus
Fahrtlänge;4937;4937;5454;4937;5454;5454;5423;5423;5423;4937;4937;4937;5454;5454;5454;5423;5423;5423;4937;4937;4937;5454;5454;5454;5423;5423;5423;4937;4937;4937;5454;5454;5454;5423;5423;5423;5454;4937;4937;5454;5454;4937;5423;5423;5423;4937;4937;4937;5454;5454;5454;5423;5423;5423;5454;4937;4937;4937;5454;5454;5423;5423;5423;4937;4937;4937;5454;5454;5454;5423;5423;5423;4937;4937;4937;5454;5454;5454;5423;5423;5423;4937;4937;4937;5454;5454;5454;5423;5423;5423
