Linienvariante;;13;7;14;7;8;8;8;8;4;4;1;11;2;4;4;4;4;4;5;6;2;12;5;4;10;4;4;9;3;2;5;5;5;5;5;5;5;2;2;2;5;5;5;5;5;2;5;5;15;150;150;150;150;150;150
Route;;8;39;;40;42;43;44;44;;;2;6;16;24;25;24;23;23;;33;;;28;24;5;25;21;46;18;16;27;27;;28;;29;;16;14;16;;28;;;28;16;;28;;;;;;;
Fahrzeitprofil;;FZP1;FZP1;FZP1;FZP1;FZP3;FZP1;FZP2;FZP2;FZP1;FZP1;FZP2;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP2;FZP1;FZP3;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP3;FZP4;FZP4;FZP1;FZP4;FZP1;FZP4;FZP4
Betriebstagsgruppe;;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;4 Fr;#NAME?;4 Fr;4 Fr;#NAME?
Verkehrsbeschr‰nkung;;!;!;!;Na2;!;S;F;S;F;S;Na2;F;Na2;S;S;S;S;F;Na2;!;Na2;S;Na2;F;S;F;S;S;S;Na2;F;S;!;F;Na2;S;!;Na2;S;F;!;!;!;P;!;P;!;!;EB2;EB2;Na1;EB2;Na1;Na1;EB2
Planungsbedingung;;;;;;;Schule;Ferien;Schule;Ferien;Schule;;Ferien;;Schule;Schule;Schule;Schule;Ferien;;;;Schule;;Ferien;Schule;Ferien;Schule;Schule;Schule;;Ferien;Schule;;Ferien;;Schule;;;Schule;Ferien;;;;~24.12.;;~24.12.;;;~RF & ~24./31.12.;~RF & ~24./31.12.;;~RF & ~24./31.12.;;;~RF & ~24./31.12.
Fahrtart;;N;N;N;N;N;S;F;S;N;N;N;F;N;S;S;S;N;N;N;N;N;S;N;F;S;F;S;S;S;N;N;N;N;F;N;S;N;N;S;F;N;N;N;N;N;N;N;N;N;N;N;N;N;A;N
Fahrzeugtyp;;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT
Zielnummer der Route;;8058;8059;;8058;8059;8059;8059;8059;;;8059;8058;8058;8059;8058;8059;8059;8059;;8058;;;8058;8059;8060;8058;8060;8060;8060;8058;8059;8059;;8058;;8060;;8058;8060;8058;;8058;;;8058;8058;;8058;;;;;;;
Zieltext der Route;;Fleischwangen;Berg;;Fleischwangen;Berg;Berg;Berg;Berg;;;Berg;Fleischwangen;Fleischwangen;Berg;Fleischwangen;Berg;Berg;Berg;;Fleischwangen;;;Fleischwangen;Berg;Fronhofen;Fleischwangen;Fronhofen;Fronhofen;Fronhofen;Fleischwangen;Berg;Berg;;Fleischwangen;;Fronhofen;;Fleischwangen;Fronhofen;Fleischwangen;;Fleischwangen;;;Fleischwangen;Fleischwangen;;Fleischwangen;;;;;;;
Fahrtl‰nge;;18433;2579;17889;16672;6147;5468;8839;8839;9699;9699;9020;19365;28071;10781;28071;10781;10103;10103;10781;28071;10781;11528;28071;10781;33916;28071;14670;31648;31626;28071;10103;10103;10781;28071;10781;30879;10781;28071;31626;28071;10781;28071;10781;10781;28071;28071;10781;28071;21312;29224;29224;29224;29224;20644;20644
Fahrtnummer;;7310055;7310007;7310001;7310201;7310003;7310005;7310009;7310009;7310011;7310011;7310203;7310049;7310205;7310013;7310015;7310017;7310019;7310019;7310207;7310021;7310209;7310023;7310211;7310027;7310025;7310104;7310031;7310029;7310033;7310213;7310035;7310035;7310039;7310041;7310215;7310043;7310045;7310217;7310047;7310073;7310051;7310053;7310057;7310219;7310059;7310221;7310063;7310065;7310223;7310225;7310081;7310227;7310083;7310085;7310229
Fuﬂnoten f¸r Fahrplanbuch;;[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];P + [1];[1];P + [1];P + [1];[1]
Durchbindung von;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Durchbindung auf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ravensburg, Polizeipr‰sidium, Mast 1;;;;;;;;07:11;07:11;;;;08:21;;;;;;;;10:51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20:21;22:20;22:20;23:44;23:44;01:28;01:28
Ravensburg, Frauentor, Mast 1;;;;;;06:14;;07:14;07:14;;;;08:24;;;;;;;;10:54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20:24;22:23;22:23;23:47;23:47;01:31;01:31
