Linienvariante;7;4;4;1;9;8;7;6;5;2;2;2;10;2;7;7;7;2;7;2;2;2;7;2;7;7;7;7;7;2;2;2;2;7;7;2;7;2;2;7;2;7;7;7;11;111;111;111;111;111;111
Route;;19;19;1;45;;37;32;26;12;12;12;;12;37;37;37;12;37;12;12;12;37;11;38;37;37;37;37;12;12;12;12;37;37;12;37;12;12;37;12;37;37;37;;;;;;;
Fahrzeitprofil;FZP2;FZP2;FZP1;FZP1;FZP1;FZP1;FZP2;FZP1;FZP1;FZP2;FZP2;FZP2;FZP2;FZP2;FZP2;FZP2;FZP2;FZP2;FZP2;FZP2;FZP2;FZP2;FZP2;FZP1;FZP2;FZP2;FZP2;FZP2;FZP2;FZP2;FZP2;FZP2;FZP2;FZP2;FZP2;FZP2;FZP2;FZP2;FZP2;FZP2;FZP2;FZP2;FZP2;FZP2;FZP2;FZP2;FZP2;FZP2;FZP2;FZP2;FZP2
Betriebstagsgruppe;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;4 Fr;#NAME?;4 Fr;#NAME?;#NAME?;4 Fr
Verkehrsbeschr‰nkung;!;S;F;!;S;S;Na2;S;S;F;!;Na2;S;S;S;F;Na2;S;S;F;Na2;Na2;!;S;F;Na2;S;!;Na2;!;!;Na2;!;!;Na2;!;!;!;P;!;!;!;P;!;EB2;Na1;EB2;Na1;EB2;EB2;Na1
Planungsbedingung;;Schule;Ferien;;Schule;Schule;;Schule;Schule;Ferien;;;Schule;Schule;Schule;Ferien;;Schule;Schule;Ferien;;;;Schule;Ferien;;Schule;;;;;;;;;;;;~24.12.;;;;~24.12.;;~RF & ~24./31.12.;;~RF & ~24./31.12.;;~RF & ~24./31.12.;~RF & ~24./31.12.;
Fahrtart;N;S;F;N;S;S;N;S;S;F;N;N;S;S;N;N;N;S;S;F;N;N;N;S;F;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
Fahrzeugtyp;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT
Zielnummer der Route;;8000;8000;8000;8532;;8000;8000;8000;8000;8000;8000;;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;;;;;;;
Zieltext der Route;;Ravensburg;Ravensburg;Ravensburg;Weingarten;;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;;;;;;;
Fahrtl‰nge;27054;6792;6792;29299;18037;7882;26479;24909;10075;8561;8561;8561;29299;8561;26479;26479;26479;8561;26479;8561;8561;8561;26479;6800;8561;26479;26479;26479;26479;8561;8561;8561;8561;26479;26479;8561;26479;8561;8561;26479;8561;26479;26479;26479;19690;27786;27786;27786;27786;19168;19168
Fahrtnummer;7310002;7310078;7310004;7310006;7310008;7310010;7310202;7310012;7310014;7310016;7310018;7310204;7310020;7310022;7310024;7310026;7310206;7310028;7310030;7310032;7310208;7310212;7310034;7310038;7310040;7310210;7310042;7310046;7310214;7310048;7310050;7310216;7310052;7310054;7310218;7310058;7310060;7310064;7310220;7310066;7310070;7310072;7310222;7310076;7310224;7310078;7310226;7310080;7310228;7310230;7310082
Fuﬂnoten f¸r Fahrplanbuch;[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1]
Durchbindung von;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Durchbindung auf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fronhofen, Feldmoos, Mast 2;;;;06:28;;;;06:58;;;;;07:58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fronreute, Obelhofen2;;;;06:29;;;;06:59;;;;;07:59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fleischwangen, Bachstraﬂe, Mast 2;05:34;;;06:32;;;;07:02;;;;;08:02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fleischwangen, Kirche, Mast 2;05:36;;;06:34;;;06:46;07:04;;;;;08:04;;08:46;08:51;09:16;;09:46;;;;11:46;;;12:46;13:16;13:51;14:16;;;;;16:16;16:46;;17:16;;;18:16;;19:16;19:16;20:16;;23:06;23:06;00:50;00:50;;
Ebenweiler, Fleischwanger Str., Mast 2;05:41;;;06:39;;;06:51;07:09;;;;;08:09;;08:51;08:56;09:21;;09:51;;;;11:51;;;12:51;13:21;13:56;14:21;;;;;16:21;16:51;;17:21;;;18:21;;19:21;19:21;20:21;;23:11;23:11;00:55;00:55;;
Fronreute, Ruprechtsbruck2;05:43;;;06:41;;;06:53;07:11;;;;;08:11;;08:53;08:58;09:23;;09:53;;;;11:53;;;12:53;13:23;13:58;14:23;;;;;16:23;16:53;;17:23;;;18:23;;19:23;19:23;20:23;;23:13;23:13;00:57;00:57;;
Fronreute, Reute-Fronhofen2;05:45;;;06:43;;;06:55;07:13;;;;;08:13;;08:55;09:00;09:25;;09:55;;;;11:55;;;12:55;13:25;14:00;14:25;;;;;16:25;16:55;;17:25;;;18:25;;19:25;19:25;20:25;;23:15;23:15;00:59;00:59;;
Fronhofen, Rathaus, Mast 2;-;;;06:46;06:46;;-;07:16;;;;;-;;-;-;-;;-;;;;-;;;-;-;-;-;;;;;-;-;;-;;;-;;-;-;-;20:57;-;-;-;-;;
Fronhofen, Kirche, Mast 2;05:47;;;06:47;06:47;;06:57;07:17;;;;;08:17;;08:57;09:02;09:27;;09:57;;;;11:57;;;12:57;13:27;14:02;14:27;;;;;16:27;16:57;;17:27;;;18:27;;19:27;19:27;20:27;20:58;23:17;23:17;01:01;01:01;02:03;02:03
Fronreute, Bettenreute2;05:48;;;06:48;06:48;;06:58;07:18;;;;;08:18;;08:58;09:03;09:28;;09:58;;;;11:58;;;12:58;13:28;14:03;14:28;;;;;16:28;16:58;;17:28;;;18:28;;19:28;19:28;20:28;20:59;23:18;23:18;01:02;01:02;02:04;02:04
