Linienvariante;1;1UML;1UML;1;1UML;1UML;1;1UML;1UML;1;1;1UML;1UML;1UML;1UML;1;1UML;1UML;1;1UML;1UML;1;1UML;1UML;1;1UML;1UML;1;1UML;1UML;1;1UML;1UML
Route;2;3;3;2;3;3;2;3;3;2;2;3;3;3;3;2;3;3;2;3;3;2;3;3;2;3;3;2;3;3;2;3;3
Fahrzeitprofil;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1
Betriebstagsgruppe;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;2 Sa, 1 So;2 Sa, 1 So;2 Sa, 1 So;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;2 Sa, 1 So;2 Sa, 1 So;2 Sa, 1 So;#NAME?;#NAME?;#NAME?
Verkehrsbeschränkung;!;78;!;!;78;!;!;78;!;!;!;83;81;93;91;!;78;!;!;!;!;!;78;!;!;78;!;!;!;!;!;78;!
Planungsbedingung;~UmlRVBP1 & ~UmlRVBP;UmlRVBP1;UmlRVBP2;~UmlRVBP1 & ~UmlRVBP;UmlRVBP1;UmlRVBP2;~UmlRVBP1 & ~UmlRVBP;UmlRVBP1;UmlRVBP2;~RF & ~UmlRVBP1 & ~U;~RF & ~UmlRVBP1 & ~U;UmlRVBP1;UmlRVBP1;UmlRVBP2;UmlRVBP2;~UmlRVBP1 & ~UmlRVBP;UmlRVBP1;UmlRVBP2;~RF & ~UmlRVBP1 & ~U;UmlRVBP1;UmlRVBP2;~UmlRVBP1 & ~UmlRVBP;UmlRVBP1;UmlRVBP2;~UmlRVBP1 & ~UmlRVBP;UmlRVBP1;UmlRVBP2;~RF & ~UmlRVBP1 & ~U;UmlRVBP1;UmlRVBP2;~UmlRVBP1 & ~UmlRVBP;UmlRVBP1;UmlRVBP2
Fahrtart;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
Fahrzeugtyp;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO
Zielnummer der Route;8584;8696;8696;8584;8696;8696;8584;8696;8696;8584;8584;8696;8696;8696;8696;8584;8696;8696;8584;8696;8696;8584;8696;8696;8584;8696;8696;8584;8696;8696;8584;8696;8696
Zieltext der Route;Ravensburg;Möttelinstrasse-;Möttelinstrasse-;Ravensburg;Möttelinstrasse-;Möttelinstrasse-;Ravensburg;Möttelinstrasse-;Möttelinstrasse-;Ravensburg;Ravensburg;Möttelinstrasse-;Möttelinstrasse-;Möttelinstrasse-;Möttelinstrasse-;Ravensburg;Möttelinstrasse-;Möttelinstrasse-;Ravensburg;Möttelinstrasse-;Möttelinstrasse-;Ravensburg;Möttelinstrasse-;Möttelinstrasse-;Ravensburg;Möttelinstrasse-;Möttelinstrasse-;Ravensburg;Möttelinstrasse-;Möttelinstrasse-;Ravensburg;Möttelinstrasse-;Möttelinstrasse-
Fahrtlänge;1429;1545;1545;1429;1545;1545;1429;1545;1545;1429;1429;1545;1545;1545;1545;1429;1545;1545;1429;1545;1545;1429;1545;1545;1429;1545;1545;1429;1545;1545;1429;1545;1545
Fahrtnummer;7311002;7311002;7311002;7311004;7311004;7311004;7311006;7311006;7311006;7311016;7311018;7311016;7311018;7311018;7311016;7311008;7311008;7311008;7311010;7311010;7311010;7311010;7311010;7311010;7311012;7311012;7311012;7311014;7311014;7311014;7311014;7311014;7311014
Fußnoten für Fahrplanbuch;Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1]
Durchbindung von;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Durchbindung auf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RV, St. Elisab.-Klinikum Pforte, Mast 1;08:53;08:53;08:53;09:53;09:53;09:53;10:53;10:53;10:53;13:38;13:38;13:38;13:38;13:38;13:38;14:53;14:53;14:53;15:38;15:38;15:38;15:53;15:53;15:53;16:53;16:53;16:53;17:38;17:38;17:38;17:53;17:53;17:53
RV, Nikolausstr. Hauptfriedhof, Mast 1;08:54;08:54;08:54;09:54;09:54;09:54;10:54;10:54;10:54;13:39;13:39;13:39;13:39;13:39;13:39;14:54;14:54;14:54;15:39;15:39;15:39;15:54;15:54;15:54;16:54;16:54;16:54;17:39;17:39;17:39;17:54;17:54;17:54
Ravensburg, Möttelinstraße (Ersatzhalt), Mast 2;-;08:56;08:56;-;09:56;09:56;-;10:56;10:56;-;-;13:41;13:41;13:41;13:41;-;14:56;14:56;-;15:41;15:41;-;15:56;15:56;-;16:56;16:56;-;17:41;17:41;-;17:56;17:56
Ravensburg, Frauentor, Mast 1;08:56;-;-;09:56;-;-;10:56;-;-;13:41;13:41;-;-;-;-;14:56;-;-;15:41;-;-;15:56;-;-;16:56;-;-;17:41;-;-;17:56;-;-
Ravensburg, Bahnhof, Mast 10;08:59;09:00;09:00;09:59;10:00;10:00;10:59;11:00;11:00;13:44;13:44;13:45;13:45;13:45;13:45;14:59;15:00;15:00;15:44;15:45;15:45;15:59;16:00;16:00;16:59;17:00;17:00;17:44;17:45;17:45;17:59;18:00;18:00
