Linienvariante;1;3;3;3;2;1;3
Route;2;3;3;3;1;4;3
Fahrzeitprofil;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1
Betriebstagsgruppe;#NAME?;#NAME?;#NAME?;#NAME?;4 Fr;#NAME?;#NAME?
Verkehrsbeschränkung;!;!;!;!;Na1;!;!
Planungsbedingung;;;;;;;
Fahrtart;N;N;N;N;N;N;N
Fahrzeugtyp;SOLO;AST;AST;AST;SOLO;SOLO;AST
Zielnummer der Route;8594;8536;8536;8536;8077;8594;8536
Zieltext der Route;Argonnenpark;Rufbus;Rufbus;Rufbus;Weingarten;Argonnenpark;Rufbus
Fahrtlänge;6331;6331;6331;6331;641;5863;6331
Fahrtnummer;7314001;7314003;7314005;7314007;7314013;7314009;7314011
Fußnoten für Fahrplanbuch;Rollie + [1];R1 + [1];R1 + [1];R1 + [1];Rollie + [1];Rollie + [1];R1 + [1]
Durchbindung von;;;;;;;
Durchbindung auf;;;;;;;
Weingarten, Löwenplatz, Mast 2;07:44;;;;;15:42;
Weingarten, Charlottenplatz, Mast 2;07:46;;;;;15:44;
Weingarten, Ev. Stadtkirche, Mast 2;07:47;;;;;15:45;
Weingarten, Post, Mast 2;07:48;;;;;15:46;
Weingarten, Bahnhofstraße, Mast 2;07:50;;;;;15:48;
Weingarten, Geschwister-Scholl-Str., Mast 1;07:52;;;;14:52;15:50;
Weingarten, Gertrud-Luckner-Str., Mast 1;07:53;;;;-;15:51;
Weingarten, Heinrich-Hertz-Str., Mast 1;07:54;;;;-;15:52;
Weingarten, Josef-Bayer-Straße, Mast 1;07:55;;;;-;15:53;
Weingarten, Friedrich-Seifritz-Str., Mast 1;07:56;;;;-;15:54;
Weingarten, Bahnhofstraße, Mast 1;07:58;;;;14:57;15:56;
Weingarten, Post, Mast 1;08:00;;;;;15:58;
Weingarten, Löwenplatz, Mast 2;08:02;09:42;11:42;13:42;;;17:42
Weingarten, Charlottenplatz, Mast 2;;09:44;11:44;13:44;;;17:44
Weingarten, Ev. Stadtkirche, Mast 2;;09:45;11:45;13:45;;;17:45
Weingarten, Post, Mast 2;;09:46;11:46;13:46;;;17:46
Weingarten, Bahnhofstraße, Mast 2;;09:48;11:48;13:48;;;17:48
Weingarten, Geschwister-Scholl-Str., Mast 1;;09:50;11:50;13:50;;;17:50
Weingarten, Gertrud-Luckner-Str., Mast 1;;09:51;11:51;13:51;;;17:51
Weingarten, Heinrich-Hertz-Str., Mast 1;;09:52;11:52;13:52;;;17:52
Weingarten, Josef-Bayer-Straße, Mast 1;;09:53;11:53;13:53;;;17:53
Weingarten, Friedrich-Seifritz-Str., Mast 1;;09:54;11:54;13:54;;;17:54
Weingarten, Bahnhofstraße, Mast 1;;09:56;11:56;13:56;;;17:56
Weingarten, Post, Mast 1;;09:58;11:58;13:58;;;17:58
Weingarten, Löwenplatz, Mast 2;;10:00;12:00;14:00;;;18:00
