Linienvariante;1;3;1;1;2;2;1;1;2;2;1;1;2;2;1;1;2;2;1;1;2;1;1;2;1;1
Route;2;5;3;2;4;4;3;3;4;4;3;3;4;4;3;3;4;4;3;3;4;1;3;4;3;1
Fahrzeitprofil;FZP2;FZP2;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1;FZP1
Betriebstagsgruppe;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?
Verkehrsbeschränkung;!;!;!;2;2;!;!;2;!;2;!;2;!;2;!;2;!;2;!;2;!;2;!;!;!;!
Planungsbedingung;;;;;;;;;;;;;;;;;;;;;;;;;;
Fahrtart;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
Fahrzeugtyp;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO;SOLO
Zielnummer der Route;8621;8616;8616;8621;8616;8616;8616;8616;8616;8616;8616;8616;8616;8616;8616;8616;8616;8616;8616;8616;8616;8100;8616;8616;8616;8100
Zieltext der Route;BOB-Bahnhof;Löwenplatz-;Löwenplatz-;BOB-Bahnhof;Löwenplatz-;Löwenplatz-;Löwenplatz-;Löwenplatz-;Löwenplatz-;Löwenplatz-;Löwenplatz-;Löwenplatz-;Löwenplatz-;Löwenplatz-;Löwenplatz-;Löwenplatz-;Löwenplatz-;Löwenplatz-;Löwenplatz-;Löwenplatz-;Löwenplatz-;Charlottenplatz;Löwenplatz-;Löwenplatz-;Löwenplatz-;Charlottenplatz
Fahrtlänge;3355;13399;13399;3355;13399;13399;13399;13399;13399;13399;13399;13399;13399;13399;13399;13399;13399;13399;13399;13399;13399;2727;13399;13399;13399;2727
Fahrtnummer;7315001;7315003;7315005;7315101;7315103;7315007;7315009;7315105;7315011;7315107;7315013;7315109;7315015;7315111;7315017;7315113;7315019;7315115;7315021;7315117;7315023;7315119;7315025;7315027;7315029;7315031
Fußnoten für Fahrplanbuch;Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1];Rollie + [1]
Durchbindung von;;;;;;;;;;;;;;;;;;;;;;;;;;
Durchbindung auf;;;;;;;;;;;;;;;;;;;;;;;;;;
Weingarten, BOB-Bahnhof, Mast 1;;05:32;06:36;;07:36;07:36;08:36;08:36;09:36;09:36;10:36;10:36;11:36;11:36;12:36;12:36;13:36;13:36;14:36;14:36;15:36;15:36;16:36;17:36;18:36;19:36
Weingarten, Lindenhofstadion, Mast 1;;05:33;06:37;;07:37;07:37;08:37;08:37;09:37;09:37;10:37;10:37;11:37;11:37;12:37;12:37;13:37;13:37;14:37;14:37;15:37;15:37;16:37;17:37;18:37;19:37
Weingarten, Ettishofer Straße, Mast 1;;05:34;06:38;;07:38;07:38;08:38;08:38;09:38;09:38;10:38;10:38;11:38;11:38;12:38;12:38;13:38;13:38;14:38;14:38;15:38;15:38;16:38;17:38;18:38;19:38
Weingarten, Alemannenstraße, Mast 1;;05:35;06:39;;07:39;07:39;08:39;08:39;09:39;09:39;10:39;10:39;11:39;11:39;12:39;12:39;13:39;13:39;14:39;14:39;15:39;15:39;16:39;17:39;18:39;19:39
Weingarten, Blumenau, Mast 1;;05:36;06:40;;07:40;07:40;08:40;08:40;09:40;09:40;10:40;10:40;11:40;11:40;12:40;12:40;13:40;13:40;14:40;14:40;15:40;15:40;16:40;17:40;18:40;19:40
Weingarten, Charlottenplatz, Mast 6;;05:37;06:41;;07:41;07:41;08:41;08:41;09:41;09:41;10:41;10:41;11:41;11:41;12:41;12:41;13:41;13:41;14:41;14:41;15:41;15:41;16:41;17:41;18:41;19:41
Weingarten, Ev. Stadtkirche, Mast 2;;05:38;06:42;;07:42;07:42;08:42;08:42;09:42;09:42;10:42;10:42;11:42;11:42;12:42;12:42;13:42;13:42;14:42;14:42;15:42;;16:42;17:42;18:42;
Weingarten, Löwenplatz, Mast 2;;05:39;06:44;;07:44;07:44;08:44;08:44;09:44;09:44;10:44;10:44;11:44;11:44;12:44;12:44;13:44;13:44;14:44;14:44;15:44;;16:44;17:44;18:44;
