Linienvariante;22;22;22;22;22;22;22;22;22;22;22;22;44;22;22;44;22;44;22;22;33;22;22;22;122;22;22;22;22;22;22;22;22;22
Route;3;3;3;3;3;3;3;3;3;3;3;3;9;3;3;9;3;10;3;3;5;3;3;3;1;3;3;3;3;3;3;3;3;3
Fahrzeitprofil;FZP3;FZP3;FZP5;FZP3;FZP5;FZP5;FZP2;FZP5;FZP2;FZP6;FZP2;FZP5;FZP1;FZP2;FZP5;FZP1;FZP6;FZP3;FZP2;FZP5;FZP1;FZP5;FZP1;FZP1;FZP4;FZP1;FZP6;FZP1;FZP5;FZP1;FZP1;FZP6;FZP5;FZP1
Betriebstagsgruppe;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;4 Fr
Verkehrsbeschränkung;!;!;Na2;!;Na2;Na2;!;Na2;!;!;!;Na2;S;!;Na2;S;!;S;!;Na2;S;Na2;!;!;S;!;!;!;Na2;!;!;!;Na2;Na1
Planungsbedingung;;;;;;;;;;;;;Schule;;;Schule;;Schule;;;Schule;;;;Schule;;;;;;;;;
Fahrtart;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;S;N;S;N;N;S;N;N;N;S;N;N;N;N;N;N;N;N;N
Fahrzeugtyp;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT
Zielnummer der Route;9158;9158;9158;9158;9158;9158;9158;9158;9158;9158;9158;9158;9158;9158;9158;9158;9158;9158;9158;9158;9158;9158;9158;9158;9158;9158;9158;9158;9158;9158;9158;9158;9158;9158
Zieltext der Route;Wolpertswende;Wolpertswende;Wolpertswende;Wolpertswende;Wolpertswende;Wolpertswende;Wolpertswende;Wolpertswende;Wolpertswende;Wolpertswende;Wolpertswende;Wolpertswende;Wolpertswende;Wolpertswende;Wolpertswende;Wolpertswende;Wolpertswende;Wolpertswende;Wolpertswende;Wolpertswende;Wolpertswende;Wolpertswende;Wolpertswende;Wolpertswende;Wolpertswende;Wolpertswende;Wolpertswende;Wolpertswende;Wolpertswende;Wolpertswende;Wolpertswende;Wolpertswende;Wolpertswende;Wolpertswende
Fahrtlänge;15370;15370;15370;15370;15370;15370;15370;15370;15370;15370;15370;15370;6048;15370;15370;6048;15370;19025;15370;15370;15639;15370;15370;15370;20833;15370;15370;15370;15370;15370;15370;15370;15370;15370
Fahrtnummer;7320009;7320001;7320061;7320003;7320047;7320043;7320005;7320045;7320007;7320069;7320031;7320049;7320033;7320011;7320051;7320035;7320073;7320037;7320013;7320053;7320015;7320055;7320017;7320019;7320021;7320023;7320077;7320025;7320057;7320027;7320039;7320071;7320059;7320029
Fußnoten für Fahrplanbuch;[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1]
Durchbindung von;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Durchbindung auf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ravensburg, Bahnhof, Mast 4;05:00;06:00;06:30;07:00;07:30;08:30;09:00;09:30;10:00;10:45;11:00;11:00;;12:00;12:00;;12:45;;13:00;13:00;;14:00;14:30;15:30;15:45;16:30;16:45;17:30;18:30;18:30;20:30;20:45;23:30;23:30
Ravensburg, Schussenstraße, Mast 1;05:03;06:03;06:33;07:03;07:33;08:33;09:03;09:33;10:03;10:46;11:03;11:03;;12:03;12:03;;12:46;;13:03;13:03;;14:03;14:33;15:33;15:48;16:33;16:46;17:33;18:33;18:33;20:33;20:46;23:33;23:33
Ravensburg, Polizeipräsidium, Mast 2;05:05;06:05;06:35;07:05;07:35;08:35;09:05;09:35;10:05;10:47;11:05;11:05;;12:05;12:05;;12:47;;13:05;13:05;;14:05;14:35;15:35;15:50;16:35;16:47;17:35;18:35;18:35;20:35;20:47;23:35;23:35
Weingarten, Krankenhaus 14 Nothelfer, Mast 2;05:06;06:06;06:36;07:06;07:36;08:36;09:06;09:36;10:06;10:48;11:06;11:06;;12:06;12:06;;12:48;;13:06;13:06;;14:06;14:36;15:36;15:54;16:36;16:48;17:36;18:36;18:36;20:36;20:48;23:36;23:36
RV, Bildungszentrum St.Konrad, Mast 1;-;-;-;-;-;-;-;-;-;-;-;-;;-;-;;-;12:45;-;-;13:15;-;-;-;-;-;-;-;-;-;-;-;-;-
Ravensburg, Polizeipräsidium, Mast 2;-;-;-;-;-;-;-;-;-;-;-;-;;-;-;;-;12:47;-;-;13:20;-;-;-;-;-;-;-;-;-;-;-;-;-
Weingarten, Krankenhaus 14 Nothelfer, Mast 2;-;-;-;-;-;-;-;-;-;-;-;-;;-;-;;-;12:49;-;-;13:21;-;-;-;-;-;-;-;-;-;-;-;-;-
Weingarten, Charlottenplatz, Mast 1;05:10;06:10;06:40;07:10;07:40;08:40;09:10;09:40;10:10;10:50;11:10;11:10;;12:10;12:10;;12:50;12:50;13:10;13:10;13:22;14:10;14:40;15:40;15:55;16:40;16:50;17:40;18:40;18:40;20:40;20:50;23:40;23:40
Baienfurt, Achtalschule, Mast 2;-;-;-;-;-;-;-;-;-;-;-;-;;-;-;;-;13:00;-;-;13:25;-;-;-;-;-;-;-;-;-;-;-;-;-
Weingarten, Welte Nord/Bechters, Mast 1;05:11;06:11;06:41;07:11;07:41;08:41;09:11;09:41;10:11;10:51;11:11;11:11;;12:11;12:11;;12:51;-;13:11;13:11;-;14:11;14:42;15:42;15:57;16:42;16:51;17:42;18:41;18:42;20:42;20:51;23:41;23:42
Baienfurt, Achtalschule, Mast 2;-;-;-;-;-;-;-;-;-;-;-;-;;-;-;;-;-;-;-;-;-;-;-;16:00;-;-;-;-;-;-;-;-;-
