Linienvariante;2;2;4;4;2;6;2;5;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;2;2;2;4;2;2;2;2;2;2;2;2;3
Route;2;2;6;8;2;12;2;11;2;2;2;2;2;2;2;2;2;2;2;2;2;2;11;2;2;2;7;2;2;2;2;2;2;2;2;4
Fahrzeitprofil;FZP1;FZP1;FZP1;FZP1;FZP7;FZP2;FZP2;FZP1;FZP7;FZP2;FZP7;FZP2;FZP7;FZP2;FZP5;FZP7;FZP2;FZP7;FZP5;FZP2;FZP7;FZP1;FZP2;FZP7;FZP1;FZP1;FZP1;FZP3;FZP5;FZP3;FZP3;FZP3;FZP3;FZP5;FZP4;FZP1
Betriebstagsgruppe;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;4 Fr
Verkehrsbeschränkung;!;!;S;S;Na2;S;!;S;Na2;!;Na2;!;Na2;!;!;Na2;!;Na2;!;!;Na2;!;S;Na2;!;!;S;!;!;!;!;Na2;!;!;Na2;Na1
Planungsbedingung;;;Schule;Schule;;Schule;;Schule;;;;;;;;;;;;;;;Schule;;;;Schule;;;;;;;;;
Fahrtart;N;N;S;S;N;S;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;S;N;N;N;N;N;N;N;N;N
Fahrzeugtyp;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT
Zielnummer der Route;9159;9159;9159;9159;9159;9159;9159;9158;9159;9159;9159;9159;9159;9159;9159;9159;9159;9159;9159;9159;9159;9159;9158;9159;9159;9159;9159;9159;9159;9159;9159;9159;9159;9159;9159;9159
Zieltext der Route;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Wolpertswende;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Wolpertswende;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg
Fahrtlänge;15304;15304;14311;17089;15304;18172;15304;5949;15304;15304;15304;15304;15304;15304;15304;15304;15304;15304;15304;15304;15304;15304;5949;15304;15304;15304;2568;15304;15304;15304;15304;15304;15304;15304;15304;15301
Fahrtnummer;7320002;7320004;7320090;7320006;7320046;7320008;7320010;7320036;7320050;7320012;7320052;7320014;7320054;7320040;7320076;7320056;7320018;7320058;7320080;7320020;7320060;7320022;7320038;7320064;7320026;7320024;7320092;7320028;7320078;7320030;7320032;7320068;7320042;7320072;7320070;7320034
Fußnoten für Fahrplanbuch;[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1];[1]
Durchbindung von;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Durchbindung auf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wolpertswende Vorsee, Ort, Mast 1;;;;;;;;07:45;;;;;;;;;;;;;;;14:00;;;;;;;;;;;;;
Wolpertswende, Rathaus, Mast 1;05:30;06:30;;06:45;07:00;07:15;07:30;07:50;08:00;08:30;09:00;09:30;10:00;10:30;11:15;11:30;12:30;12:30;13:15;13:30;13:30;14:00;14:05;14:30;15:00;16:00;;17:00;17:15;18:00;19:00;19:00;21:00;21:15;00:00;00:00
Wolpertswende, Stroppel, Mast 2;05:31;06:31;;06:46;07:01;07:16;07:31;07:51;08:01;08:31;09:01;09:31;10:01;10:31;11:16;11:31;12:31;12:31;13:16;13:31;13:31;14:01;14:06;14:31;15:01;16:01;;17:01;17:16;18:01;19:01;19:01;21:01;21:16;00:01;-
Wolpertswende, Steinhausener Weg, Mast 2;05:32;06:32;;06:47;07:02;07:17;07:32;07:52;08:02;08:32;09:02;09:32;10:02;10:32;11:17;11:32;12:32;12:32;13:17;13:32;13:32;14:02;14:07;14:32;15:02;16:02;;17:02;17:17;18:02;19:02;19:02;21:02;21:17;00:02;-
Wolperts. Mochenw, Krummensbach, Mast 2;05:33;06:33;;06:48;07:03;07:18;07:33;07:53;08:03;08:33;09:03;09:33;10:03;10:33;11:18;11:33;12:33;12:33;13:18;13:33;13:33;14:03;14:08;14:33;15:03;16:03;;17:03;17:18;18:03;19:03;19:03;21:03;21:18;00:03;-
Wolperts. Mochenwangen, Schule, Mast 1;-;-;;-;-;-;-;08:00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14:10;-;-;-;;-;-;-;-;-;-;-;-;-
Wolperts. Mochenwangen, Adler, Mast 1;05:34;06:34;06:48;06:49;07:04;07:19;07:34;;08:04;08:34;09:04;09:34;10:04;10:34;11:19;11:34;12:34;12:34;13:19;13:34;13:34;14:04;;14:34;15:04;16:04;;17:04;17:19;18:04;19:04;19:04;21:04;21:19;00:04;-
Wolperts. Mochenw, Alte Kirche, Mast 1;05:35;06:35;06:49;06:50;07:05;07:20;07:35;;08:05;08:35;09:05;09:35;10:05;10:35;11:20;11:35;12:35;12:35;13:20;13:35;13:35;14:05;;14:35;15:05;16:05;;17:05;17:20;18:05;19:05;19:05;21:05;21:20;00:05;-
