Linienvariante;2;2;2;2;5;2;4;5;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Route;2;2;2;;7;2;6;8;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Fahrzeitprofil;FZP3;FZP3;FZP1;FZP5;FZP2;FZP2;FZP4;FZP1;FZP3;FZP2;FZP2;FZP4;FZP2;FZP2;FZP2;FZP2;FZP4;FZP2;FZP2;FZP2;FZP3;FZP4;FZP2;FZP2;FZP3;FZP2;FZP2;FZP2;FZP4;FZP2;FZP2;FZP2;FZP2;FZP2;FZP4;FZP2;FZP2;FZP2;FZP2;FZP2;FZP2;FZP4;FZP3;FZP2;FZP2;FZP2;FZP2;FZP4;FZP2;FZP2;FZP2;FZP2;FZP4;FZP2;FZP2;FZP2;FZP2;FZP3;FZP2;FZP2
Betriebstagsgruppe;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;#NAME?;4 Fr;#NAME?
Verkehrsbeschränkung;!;!;!;S;S;Na2;!;S;!;!;Na2;!;!;!;Na2;Na2;!;!;!;Na2;S;!;!;Na2;S;!;Na2;S;!;!;Na2;!;Na2;S;!;!;Na2;!;!;Na2;!;!;!;!;Na2;!;Na2;!;!;Na2;!;Na2;!;Na2;!;Na2;!;!;Na1;Na2
Planungsbedingung;;;;Schule;Schule;;;Schule;;;;;;;;;;;;;Schule;;;;Schule;;;Schule;;;;;;Schule;;;;;;;;;;;;;;;;;;;;;;;;;;
Fahrtart;N;N;N;S;S;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;S;N;N;N;S;N;N;S;N;N;N;N;N;S;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N
Fahrzeugtyp;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT;PRIVAT
Zielnummer der Route;8000;8000;8000;;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000;8000
Zieltext der Route;Ravensburg;Ravensburg;Ravensburg;;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg;Ravensburg
